Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
100,23,4,171,8,Some Random Commen with Id 100
101,23,4,24,4,Some Random Commen with Id 101
102,24,4,6,3,Some Random Commen with Id 102
103,24,4,11,8,Some Random Commen with Id 103
104,24,4,79,1,Some Random Commen with Id 104
105,24,4,139,3,Some Random Commen with Id 105
106,24,4,95,8,Some Random Commen with Id 106
107,24,4,193,9,Some Random Commen with Id 107
108,24,4,82,4,Some Random Commen with Id 108
109,25,2,59,6,Some Random Commen with Id 109
110,26,4,153,7,Some Random Commen with Id 110
111,26,4,58,4,Some Random Commen with Id 111
112,26,4,80,0,Some Random Commen with Id 112
113,26,4,108,4,Some Random Commen with Id 113
114,26,4,69,9,Some Random Commen with Id 114
115,26,4,70,0,Some Random Commen with Id 115
116,26,4,171,6,Some Random Commen with Id 116
117,26,4,122,1,Some Random Commen with Id 117
118,26,4,92,9,Some Random Commen with Id 118
119,27,2,57,8,Some Random Commen with Id 119
120,27,2,87,3,Some Random Commen with Id 120
121,28,4,128,8,Some Random Commen with Id 121
122,28,4,73,3,Some Random Commen with Id 122
123,28,4,41,5,Some Random Commen with Id 123
124,28,4,128,3,Some Random Commen with Id 124
125,28,4,139,2,Some Random Commen with Id 125
126,28,4,195,5,Some Random Commen with Id 126
127,29,5,32,1,Some Random Commen with Id 127
128,29,5,158,0,Some Random Commen with Id 128
129,29,5,11,3,Some Random Commen with Id 129
130,29,5,139,5,Some Random Commen with Id 130
131,29,5,118,7,Some Random Commen with Id 131
132,29,5,101,5,Some Random Commen with Id 132
133,29,5,54,7,Some Random Commen with Id 133
134,31,8,108,7,Some Random Commen with Id 134
135,31,8,162,6,Some Random Commen with Id 135
136,31,8,45,4,Some Random Commen with Id 136
137,31,8,23,5,Some Random Commen with Id 137
138,31,8,49,2,Some Random Commen with Id 138
139,31,8,170,4,Some Random Commen with Id 139
140,31,8,177,6,Some Random Commen with Id 140
141,32,2,53,3,Some Random Commen with Id 141
142,32,2,176,6,Some Random Commen with Id 142
143,32,2,116,1,Some Random Commen with Id 143
144,32,2,3,3,Some Random Commen with Id 144
145,32,2,59,6,Some Random Commen with Id 145
146,32,2,73,2,Some Random Commen with Id 146
147,32,2,59,1,Some Random Commen with Id 147
148,32,2,178,8,Some Random Commen with Id 148
149,32,2,48,6,Some Random Commen with Id 149
150,34,5,26,1,Some Random Commen with Id 150
151,34,5,169,0,Some Random Commen with Id 151
152,34,5,146,5,Some Random Commen with Id 152
153,35,2,5,0,Some Random Commen with Id 153
154,35,2,71,6,Some Random Commen with Id 154
155,35,2,79,1,Some Random Commen with Id 155
156,35,2,95,2,Some Random Commen with Id 156
157,35,2,78,5,Some Random Commen with Id 157
158,35,2,173,1,Some Random Commen with Id 158
159,36,5,129,6,Some Random Commen with Id 159
160,36,5,107,7,Some Random Commen with Id 160
161,36,5,88,3,Some Random Commen with Id 161
162,37,7,149,4,Some Random Commen with Id 162
163,37,7,126,5,Some Random Commen with Id 163
164,37,7,126,6,Some Random Commen with Id 164
165,37,7,7,6,Some Random Commen with Id 165
166,37,7,173,8,Some Random Commen with Id 166
167,38,5,183,9,Some Random Commen with Id 167
168,38,5,35,6,Some Random Commen with Id 168
169,38,5,162,5,Some Random Commen with Id 169
170,39,5,23,4,Some Random Commen with Id 170
171,39,5,140,6,Some Random Commen with Id 171
172,39,5,142,2,Some Random Commen with Id 172
173,39,5,120,3,Some Random Commen with Id 173
174,39,5,1,1,Some Random Commen with Id 174
175,39,5,22,3,Some Random Commen with Id 175
176,39,5,137,0,Some Random Commen with Id 176
177,39,5,6,1,Some Random Commen with Id 177
178,39,5,181,8,Some Random Commen with Id 178
